RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1000,Surname_0,496,France,Female,35,9,248616.55851420792,2,0,0,111259.4421309218,0
1,1001,Surname_1,422,Spain,Male,52,4,21627.314208463034,2,1,0,123045.83042370836,1
2,1002,Surname_2,474,Germany,Male,84,6,192663.29415564364,2,1,1,80920.45499754613,0
3,1003,Surname_3,635,France,Female,25,9,222983.0283892543,1,1,0,37388.77281887888,1
4,1004,Surname_4,455,France,Female,82,4,238555.98053272057,3,1,0,61412.90378738071,0
5,1005,Surname_5,665,Spain,Male,36,1,161343.715269452,3,0,0,72930.4915172857,1
6,1006,Surname_6,578,France,Female,84,6,68922.04830046886,1,1,1,157141.6598722363,0
7,1007,Surname_7,439,Germany,Female,22,9,130063.00255732464,2,0,0,91323.69203116655,0
8,1008,Surname_8,448,Germany,Male,37,4,84300.49302006052,3,0,1,188459.66683328795,1
9,1009,Surname_9,655,France,Female,34,7,148138.9794563698,3,1,1,101823.32918569248,0
10,1010,Surname_10,683,France,Female,45,2,72591.05707882904,1,1,1,97191.35339131128,1
11,1011,Surname_11,742,Spain,Female,33,4,228317.97182058956,2,0,0,68275.28468198642,1
12,1012,Surname_12,482,Spain,Female,52,9,138445.14453383905,1,1,1,6884.061279444592,1
13,1013,Surname_13,812,France,Female,44,3,85582.15080114549,1,0,0,83061.3374652542,1
14,1014,Surname_14,713,France,Female,77,7,84717.07078671356,1,1,1,81694.02024732351,0
15,1015,Surname_15,683,France,Female,20,8,109109.4937831496,3,0,1,179161.87596547857,1
16,1016,Surname_16,689,France,Male,21,9,2254.727618720781,2,1,0,108024.34543403912,0
17,1017,Surname_17,435,France,Male,34,0,107491.56940845284,3,0,1,168006.0060460671,0
18,1018,Surname_18,484,Germany,Male,59,8,151494.2768197012,1,0,1,52927.78747700418,0
19,1019,Surname_19,463,Germany,Male,41,4,245386.30534356428,3,0,1,155132.55446688345,1
20,1020,Surname_20,594,Spain,Female,60,5,179440.21296082254,3,1,0,51487.16713590452,1
21,1021,Surname_21,452,Germany,Male,82,8,213257.80045930113,1,0,0,129451.93280981694,0
22,1022,Surname_22,585,Spain,Female,37,7,159167.84235987833,3,0,0,59813.63395744837,1
23,1023,Surname_23,581,Germany,Female,56,0,127779.79219637885,1,1,0,70578.02642681496,1
24,1024,Surname_24,720,France,Male,19,3,198970.35394710107,2,1,1,3554.094536062052,1
25,1025,Surname_25,682,France,Female,73,7,237416.85932761847,2,0,0,166533.07121205697,1
26,1026,Surname_26,470,Spain,Male,53,8,12389.282776109927,2,0,0,25921.689979797437,0
27,1027,Surname_27,718,Germany,Female,82,6,113583.49800902259,2,0,0,37606.46539661179,1
28,1028,Surname_28,575,France,Male,49,8,100264.4234367728,2,0,0,180041.49048032588,0
