Customer_ID,Age,Years_as_Customer,Annual_Income,Total_Spend,Num_of_Purchases,Num_of_Returns,Num_of_Support_Contacts,Target_Churn
0,26,5,145297.7337471844,1254.1441981175728,18,0,0,1
1,55,5,61839.89756831856,4999.807551823108,33,2,2,1
2,27,8,135678.79801898735,767.7054574405615,35,3,1,1
3,66,6,54229.84165913183,2306.3342381475163,37,0,2,0
4,36,1,68294.55618850248,2885.6876745534873,24,9,0,0
5,47,8,125314.22025989111,3057.559513504741,21,9,4,0
6,65,9,139973.31496618228,3017.5078392142855,20,8,1,0
7,48,5,140690.14626627078,4820.929784202065,17,0,4,0
8,57,8,101199.17445734813,4897.678363098968,37,4,3,1
9,60,7,67060.52210090327,2517.0360814262694,33,0,4,1
10,21,3,77263.20147762405,870.3530809871507,35,8,1,0
11,38,3,129584.63892261335,1136.84333729953,43,4,2,0
12,39,8,21605.52741175856,1030.2437260675772,22,0,3,0
13,29,1,129024.332361357,4811.652724427383,36,1,4,1
14,41,2,89174.92798163611,1058.7950726684098,40,9,0,0
15,48,5,101653.12667365224,2707.6979745580084,15,4,2,0
16,41,1,97738.09798746888,4616.289115092718,4,8,0,0
17,42,4,45614.72908393091,2249.8042130516073,37,7,2,1
18,45,5,49543.07810025108,4600.987429193341,16,8,2,0
19,56,6,50267.4372742203,1788.1437153977483,33,8,4,1
20,38,1,79998.91915358405,2593.5984630248036,14,0,0,1
21,45,5,26563.978205155217,2038.0681529292046,29,6,3,0
22,29,9,64811.65919329487,3493.2313742061333,44,4,1,1
23,37,3,117567.38495556681,4912.570167788038,47,9,1,0
24,32,2,35099.7247733433,1964.8949093252204,7,6,0,1
25,47,4,85682.20342562032,3190.6941125382455,30,2,3,0
26,42,2,36027.192290513056,1326.7432615118937,11,4,2,0
27,41,6,29705.393882938297,519.3401058488298,28,8,3,1
28,43,8,122809.64738167544,1303.1722497477829,27,4,3,0
29,48,4,118875.6720946903,1961.0289026290936,8,4,1,1
30,53,7,141727.82985634424,3630.5578899069283,3,7,4,1
31,53,1,68103.80977970318,952.8224296265365,25,4,3,0
32,40,4,71997.48704765113,2296.856369082082,22,8,4,0
33,40,5,147355.0684549503,2535.8159096088466,49,0,2,0
34,35,2,21857.88775695302,3918.248868998025,27,0,0,1
35,20,2,64313.70846487229,135.2513065001654,23,8,1,0
36,64,4,90930.62805212126,3157.678246958417,6,6,1,0
37,31,4,46050.152053359765,1293.7139461142428,14,3,1,0
38,22,8,64404.65183708473,2811.365168506914,27,1,4,1
39,55,5,108629.44259275796,1744.4770475859743,8,5,0,1
40,49,1,121786.0930769831,3470.36211381725,33,3,0,0
41,25,1,64358.05426235444,1551.6110136826617,34,3,0,0
42,61,7,58257.59821910358,808.051412081503,23,8,4,0
43,31,2,133430.68306033494,168.1076545587546,8,6,2,0
44,67,4,94072.5988583532,1046.654101736101,28,6,2,1
45,23,5,91588.35397109664,721.8985562068823,39,3,1,0
46,69,2,96252.05797708408,4235.644929840865,10,3,4,1
47,42,1,55181.31493923799,231.7254383413332,6,8,4,0
48,24,5,55666.40779189234,4462.182927783607,13,4,3,1
49,24,3,30891.477121135526,3213.759670621067,45,4,1,1
50,37,4,53334.89573626947,371.8592766319481,39,2,2,1
51,58,4,137902.40780923434,1756.922762794672,41,8,0,0
52,18,6,111613.22132562283,1431.3337310273464,7,7,2,0
53,29,3,48188.2660563,2508.6800850137065,36,1,2,1
54,24,7,34472.68714459942,4370.2562126002895,39,3,4,1
55,62,6,141966.99306968032,892.1934224767524,20,1,3,1
56,40,6,121247.25313743016,4762.554108171272,22,2,3,0
57,65,7,55031.80168060905,2612.5961040355883,4,0,2,1
58,65,2,131995.58804324394,410.1377849653952,24,2,2,1
59,65,9,136088.17510702292,1513.6354867120342,29,9,2,0
60,24,9,122826.14238841124,3373.9947723336904,45,0,2,1
61,21,8,132997.6522745815,2305.246099759825,36,5,3,1
62,30,4,85031.93151741012,309.08095812881,42,3,3,0
63,23,8,50142.88654928957,3068.914645732535,29,5,0,1
64,57,4,47773.97132827897,3116.4109998794647,3,3,1,1
65,40,2,94667.14259453435,2613.8549687691557,4,1,2,1
66,58,7,33908.94233193805,2873.6486645712466,25,3,4,1
67,69,6,50697.47806210576,3265.274645160694,33,9,4,1
68,50,5,59277.27305902083,1603.2405591571226,17,3,4,0
69,22,4,136948.5829879952,1757.2317028764455,38,7,4,1
70,69,2,129388.95575384569,4533.929759469216,13,6,3,1
71,21,5,43305.135575299675,4091.7634564861746,32,9,4,1
72,22,5,81181.79409535517,1100.9531057049776,26,8,1,1
73,40,1,68341.78625737314,4681.592702088987,49,3,3,1
74,64,4,35051.85858380223,3664.1214174751694,47,0,0,1
75,25,6,120500.19630395768,2669.741956404791,18,8,2,0
76,42,1,99036.92030215051,1578.772875377764,32,6,4,1
77,61,3,58535.37579031913,1714.384383588119,27,3,1,0
78,46,1,135979.39193053645,4226.2271081132185,17,7,1,0
79,31,7,134162.78075996295,870.8297451426695,5,7,4,0
80,53,3,94402.93482114171,4638.613529578828,12,3,1,0
81,26,4,103547.59513233691,1212.4446824490396,26,6,4,0
82,65,4,65962.64961764986,1622.898363295185,21,8,1,1
83,69,3,112504.05478750839,465.061620738165,35,8,4,0
84,57,2,134379.8106240764,310.1259651242432,16,0,2,1
85,32,1,50358.50500596751,4386.727017150051,48,6,4,0
86,19,7,75817.75490149038,1412.975236471038,8,9,2,0
87,59,7,109578.3631605269,483.5913008698301,2,0,2,1
88,24,4,25248.714263236536,2374.9657140061854,27,0,4,0
89,51,4,28921.639817360512,133.4463116114568,46,2,4,1
90,31,9,93408.48858152966,377.1598587404433,36,9,0,1
91,33,8,115418.66634776043,4756.34845678963,19,8,2,0
92,21,2,78451.54404881592,4332.793930943984,9,9,1,0
93,46,6,96721.73646637899,4404.871573009385,41,2,3,0
94,58,6,142263.6386889036,3784.7924085795426,3,0,1,0
95,34,9,55775.448795809425,2776.515327324815,6,4,0,0
96,29,9,72992.49881778762,664.7860951705293,26,8,1,0
97,50,1,21934.438625676416,1927.618594313847,3,5,1,0
98,54,2,138276.46536872676,4001.764656777726,9,4,1,1
99,22,7,77362.65584097359,2300.860139402126,18,8,2,1
