RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1000,Surname_0,563,Spain,Female,37,0,174963.92301083545,3,0,1,65281.198715396284,1
1,1001,Surname_1,826,Spain,Male,57,5,244164.80637738254,3,0,0,162207.42670056768,0
2,1002,Surname_2,475,France,Male,67,2,172470.95201954208,3,1,1,191334.84274072075,0
3,1003,Surname_3,627,Spain,Male,77,7,85017.54929826615,1,1,0,109748.11469641556,1
4,1004,Surname_4,449,Spain,Female,37,9,87871.03754397396,1,1,1,41422.80226035806,0
5,1005,Surname_5,543,Germany,Female,20,4,78355.9367873711,2,0,1,11025.903971452108,1
6,1006,Surname_6,772,France,Female,21,8,187520.65872093293,1,0,0,22607.123140996464,0
7,1007,Surname_7,715,Spain,Male,56,5,112825.37984567037,1,1,0,95011.90922392745,1
8,1008,Surname_8,469,Germany,Female,27,8,156544.59318080748,3,0,1,97168.76120853711,0
9,1009,Surname_9,500,Germany,Female,83,3,65192.60738369073,1,0,0,19242.15194359737,0
10,1010,Surname_10,721,Germany,Female,72,6,139424.06678983712,1,0,1,62598.09972388988,1
11,1011,Surname_11,428,France,Female,56,0,138117.4310122879,2,0,0,152423.0826932684,0
12,1012,Surname_12,827,Germany,Female,70,8,122892.14388342842,1,1,0,125772.36669652683,1
13,1013,Surname_13,427,France,Female,22,5,65358.23930530502,1,0,1,17547.2628697202,1
14,1014,Surname_14,537,Germany,Male,36,6,132346.58085192213,2,0,0,182146.73091322905,0
15,1015,Surname_15,636,Germany,Female,61,9,116198.10528468397,2,1,1,96900.84813871865,1
16,1016,Surname_16,737,Germany,Male,37,8,209730.38429684026,3,1,0,148940.85922649174,0
17,1017,Surname_17,646,Spain,Female,87,8,97709.26641610397,3,0,0,157361.47078581352,0
18,1018,Surname_18,810,France,Male,49,6,204155.42166431938,3,1,0,112400.85626821943,1
19,1019,Surname_19,460,France,Male,28,3,179093.42628296863,1,1,1,184505.35996389607,1
20,1020,Surname_20,576,France,Female,26,2,248860.35478356277,3,1,0,25306.474951036627,0
21,1021,Surname_21,638,Germany,Male,38,9,146458.12612059386,3,0,1,123946.77797868848,1
22,1022,Surname_22,618,Spain,Female,45,4,185729.18658714404,3,0,0,11094.885927305211,0
23,1023,Surname_23,544,Germany,Male,86,2,179236.55260784837,1,0,0,199002.84945145407,0
24,1024,Surname_24,749,Spain,Female,52,0,209383.78293004833,1,0,1,53962.51978213527,1
25,1025,Surname_25,758,France,Female,88,9,94101.00041250746,1,0,0,46248.095128464956,1
26,1026,Surname_26,599,France,Male,21,2,161126.30671904882,3,1,1,27768.994233413752,0
27,1027,Surname_27,436,Germany,Female,68,6,199852.8228722564,1,0,1,99359.56177688684,0
28,1028,Surname_28,530,Germany,Female,49,1,195033.45984724173,3,1,1,145057.92931370932,0
29,1029,Surname_29,795,France,Male,77,5,140686.12985802128,1,0,0,113923.46063382595,1
30,1030,Surname_30,570,France,Male,49,9,26521.70918373234,1,1,1,36580.08179629434,1
31,1031,Surname_31,490,France,Female,54,1,183085.18017037085,2,0,0,129654.53279465713,1
32,1032,Surname_32,777,Spain,Male,45,3,199238.62041759767,3,0,0,91558.94143981108,0
33,1033,Surname_33,821,France,Female,24,2,214473.4684587875,1,1,0,97292.86878719932,1
34,1034,Surname_34,844,Germany,Female,24,3,182418.63433431624,1,0,0,96818.73116210499,0
35,1035,Surname_35,817,France,Male,76,1,81780.41094313632,2,1,1,48844.28597355233,1
36,1036,Surname_36,818,Spain,Male,71,5,236470.05056726455,2,1,1,120173.8952397802,1
37,1037,Surname_37,419,Germany,Male,70,8,153491.81233009932,3,0,1,89519.38641822268,1
38,1038,Surname_38,708,France,Male,37,4,37021.671500736986,1,0,1,32316.58211407414,0
39,1039,Surname_39,572,Spain,Female,69,4,50014.13794707624,3,1,1,91594.58423773183,0
40,1040,Surname_40,585,France,Female,54,3,101082.62924876815,3,1,1,73171.04224487187,1
41,1041,Surname_41,637,France,Female,75,7,10173.686930045029,1,1,1,22120.843291995236,1
42,1042,Surname_42,776,Spain,Female,21,1,37228.90968756335,2,0,0,122740.62621884124,1
43,1043,Surname_43,578,Spain,Male,19,6,6046.596440902302,1,0,0,166293.47440451762,0
44,1044,Surname_44,443,Spain,Female,28,5,198020.10530471173,2,0,1,23745.94649133395,1
45,1045,Surname_45,569,Spain,Female,60,1,94049.78180082273,1,1,1,197653.7115227612,0
46,1046,Surname_46,783,Spain,Female,52,2,96796.36866831529,2,1,0,44241.67251483431,1
47,1047,Surname_47,609,Germany,Male,76,1,220284.75671023846,1,0,1,167675.9000072551,0
48,1048,Surname_48,816,Germany,Male,59,1,79145.3671510254,1,1,1,6775.05577596168,1
49,1049,Surname_49,675,Germany,Male,34,9,84.5058094514628,2,1,1,52982.91721789123,1
50,1050,Surname_50,745,France,Male,35,1,209481.58658026284,3,1,0,160828.45694252077,1
51,1051,Surname_51,630,France,Male,20,0,208856.8285277472,3,0,0,158566.80822589353,1
52,1052,Surname_52,810,France,Male,83,7,240831.14509981198,2,1,0,46554.160264592225,0
53,1053,Surname_53,505,Spain,Female,38,6,8401.205061268402,2,1,0,61829.667759098615,1
54,1054,Surname_54,805,Spain,Female,66,1,1342.590429159296,3,1,1,61423.408358981804,1
55,1055,Surname_55,677,Spain,Female,47,1,124302.45215671087,2,1,1,10159.638006339046,1
56,1056,Surname_56,628,Spain,Male,32,2,153913.16293242376,3,0,1,198817.24630224504,1
57,1057,Surname_57,521,France,Female,79,7,156371.47543506263,2,0,1,87912.91049211555,0
58,1058,Surname_58,635,Spain,Female,85,1,91131.67554362406,2,1,0,146585.70623263458,1
59,1059,Surname_59,808,France,Female,75,2,141068.7704051696,2,0,0,48221.20568716093,0
60,1060,Surname_60,477,Germany,Male,31,9,12092.675763367894,1,0,0,30256.877430128614,1
61,1061,Surname_61,759,Spain,Male,54,8,217190.20380346916,1,0,1,104655.62455604883,1
62,1062,Surname_62,659,Germany,Female,70,7,1547.7759692489878,3,0,0,179461.57935942625,0
63,1063,Surname_63,421,Germany,Female,64,5,152760.42134414305,1,0,0,148003.430265856,1
64,1064,Surname_64,615,Germany,Male,88,4,236582.66090558717,3,1,1,114141.4751048641,1
65,1065,Surname_65,803,France,Female,81,9,208799.8614902626,3,1,1,45600.8766653587,1
66,1066,Surname_66,518,Germany,Female,57,6,179300.99119267333,1,1,1,111650.69785981679,1
67,1067,Surname_67,544,Germany,Female,27,9,117690.19568580702,2,0,0,157982.6522831791,0
68,1068,Surname_68,658,France,Male,45,9,179535.68983031667,1,1,1,62269.26098332531,1
69,1069,Surname_69,825,Germany,Female,61,0,99260.17412596702,3,1,1,146690.28946759578,0
70,1070,Surname_70,681,France,Female,35,3,5809.274569994222,2,0,1,29798.80748512672,1
71,1071,Surname_71,699,France,Female,60,4,159144.06062647124,2,1,0,75436.40141211929,0
72,1072,Surname_72,508,Germany,Male,42,7,196623.7321276469,1,0,1,188015.4441945815,1
73,1073,Surname_73,600,France,Male,35,5,40936.60290667128,2,1,1,134937.42360558113,1
74,1074,Surname_74,495,Germany,Male,84,3,164730.22248886962,1,1,0,64878.274161931746,1
75,1075,Surname_75,568,France,Female,37,1,218097.55220080403,1,0,1,117381.61754751118,0
76,1076,Surname_76,752,Spain,Male,19,5,128591.56101346042,2,0,0,186507.3197205169,1
77,1077,Surname_77,631,Germany,Male,86,5,76383.8652056936,2,1,0,64132.65038677643,1
78,1078,Surname_78,600,Germany,Male,62,9,60828.4589375184,1,0,0,166920.26484504563,1
79,1079,Surname_79,562,Spain,Male,85,2,106846.31153227184,3,0,1,182763.63370643472,1
80,1080,Surname_80,618,Spain,Female,54,9,40787.54453246186,3,1,0,21166.933497961556,1
81,1081,Surname_81,436,France,Male,80,7,111927.07838092723,3,0,0,45155.46094601891,1
82,1082,Surname_82,706,Germany,Female,84,5,45346.77330621173,2,1,0,10627.174199583027,1
83,1083,Surname_83,847,France,Female,83,6,139185.3430788824,3,1,1,133262.28886522318,0
84,1084,Surname_84,772,France,Male,31,9,30424.949579097636,3,0,1,26573.983941526145,0
85,1085,Surname_85,669,Germany,Male,74,5,110195.06579346633,3,0,0,176401.27465905593,1
86,1086,Surname_86,568,Spain,Female,79,3,17765.00352463367,1,1,0,192137.08424436004,1
87,1087,Surname_87,463,Spain,Male,53,4,143866.81798584558,1,0,1,142868.03738720051,1
88,1088,Surname_88,465,Germany,Male,57,6,183511.52423352603,3,1,0,133236.5723381731,1
89,1089,Surname_89,419,Germany,Male,30,5,56518.72010632389,2,0,1,102453.19260062574,1
90,1090,Surname_90,622,Germany,Male,32,1,39300.515138703115,1,1,0,10895.560396052631,0
91,1091,Surname_91,668,France,Male,38,1,131063.64934669968,1,1,1,137875.08545443765,0
92,1092,Surname_92,692,Germany,Female,61,6,103066.06029126528,2,0,0,50374.434681532664,1
93,1093,Surname_93,498,France,Female,84,3,220900.1202862075,1,0,0,132600.24176302084,0
94,1094,Surname_94,488,Spain,Female,69,0,179071.0504259311,2,1,0,38020.501598862895,0
95,1095,Surname_95,772,France,Male,50,5,129471.23859424486,1,1,0,57976.46343580162,0
96,1096,Surname_96,409,Spain,Male,57,2,26890.70234250529,2,1,1,119635.41319730875,0
97,1097,Surname_97,425,Germany,Male,49,3,61573.74501733892,1,1,1,197637.48949326982,1
98,1098,Surname_98,522,Spain,Male,24,1,249450.2702062202,2,0,1,86979.7165260852,1
99,1099,Surname_99,543,Germany,Male,36,1,219836.53446411563,1,1,0,99625.57742488821,0
