Customer_ID,Age,Years_as_Customer,Annual_Income,Total_Spend,Num_of_Purchases,Num_of_Returns,Num_of_Support_Contacts,Target_Churn
0,63,2,103518.56873654573,4522.673850971989,15,2,2,0
1,31,3,86651.9127609473,4462.753137211709,35,6,3,1
2,31,2,101023.1148150153,1281.4371216011189,35,3,4,0
3,34,6,86166.39451017708,243.08238510733472,38,1,3,0
4,41,9,119868.42184438735,2398.7389817388794,15,3,4,0
5,18,4,72338.17221569903,1786.2967698690318,21,4,0,0
6,25,8,89229.44823108715,457.88445268470707,1,5,2,1
7,60,1,103806.87643504431,2993.796912978018,29,9,4,0
8,67,5,31183.857280591863,4439.24226369333,29,9,3,0
9,22,8,103566.15019279404,485.4549728318344,19,6,1,0
10,68,4,61362.79224976323,2760.7228120036157,30,8,3,1
11,23,6,26550.525947614005,3162.822532599311,42,8,0,1
12,55,8,61430.813538428345,3272.5025511125045,7,1,4,0
13,66,2,69952.12963972602,2446.626187452972,1,3,3,1
14,21,7,64380.338879185314,1652.8649657182357,9,8,3,0
15,30,4,112403.80799207903,384.09294410372524,49,3,1,1
16,27,4,112479.17420438006,4450.827275490667,45,4,4,0
17,44,6,102309.87053475769,2061.3752815166945,15,4,4,0
18,29,7,54906.771113801144,4474.8069937678765,7,5,4,1
19,18,8,117931.2265520098,2654.641509557031,34,9,4,1
20,54,5,124837.63618649339,2232.828818822286,48,2,1,0
21,41,3,71162.82153977646,3122.660787625383,24,3,4,0
22,40,1,88096.7547124804,437.02127031448697,25,7,4,1
23,46,8,87389.77555383685,4649.071109032553,44,8,3,0
24,37,8,25039.163655202985,891.5973445292465,2,8,0,1
25,21,4,120892.21549617207,3031.981569456155,9,1,4,0
26,31,8,57312.48079603701,3832.7537331270673,2,9,0,0
27,58,5,22711.63733674558,1729.4587824018956,37,5,0,0
28,43,1,136569.2339219065,4223.473363971035,3,8,2,1
29,22,8,56131.663727295716,4105.7615542311305,30,0,3,1
30,40,2,127297.85387906367,2016.6797356278646,14,7,1,1
31,33,9,109423.90972809681,3763.215638400915,3,4,0,0
32,45,2,134470.4806974536,2668.1124055615387,46,6,0,1
33,25,8,31230.57295940346,3520.0053556403636,24,9,2,0
34,61,2,135010.10881016328,2100.503807361171,8,0,1,1
35,19,4,136927.96644261992,3081.349849296717,7,0,2,0
36,26,1,25383.51845742501,2454.927718612906,19,6,3,1
37,50,6,83071.8812646017,3323.5305804946547,16,4,1,1
38,26,1,62985.964995964765,1946.2356975176913,32,5,0,0
39,54,6,118164.63294400921,2444.605571266394,9,1,1,1
40,30,1,111864.51579553202,2798.8564636293213,35,8,1,1
41,35,2,57589.79514362742,3631.3870403558103,39,4,3,1
42,44,3,103225.13381690404,2543.649665781981,44,8,1,0
43,55,6,145730.52761275106,2709.9819829397416,27,4,1,1
44,49,5,39996.47566018128,2438.861393000219,16,8,4,0
45,64,3,93732.18152490378,4465.120588442307,46,3,4,1
46,21,2,76923.10580830729,627.572931749185,23,9,3,0
47,37,9,83570.58882591632,4604.539515588933,17,6,4,1
48,48,2,49433.41958925378,2340.407030787711,44,5,2,0
49,31,1,31855.97700531831,3472.4063732717104,44,7,0,0
50,66,2,147893.1281913355,4197.477241781228,32,3,3,1
51,64,8,110637.03779985785,4413.883417206949,39,5,0,0
52,38,6,94304.26739401919,763.6129496949418,29,9,3,0
53,56,6,147171.8307064161,3277.3173698202645,15,8,1,1
54,59,6,106536.5359268032,4756.356816978488,36,7,0,1
55,32,6,28467.131910497115,677.6581414991127,5,9,2,0
56,29,3,50391.25657467145,1811.3557241607348,39,5,1,1
57,55,7,22683.851316111482,4849.806053940263,47,0,1,0
58,37,2,95313.28149517984,2216.4397257992105,21,3,3,1
59,27,7,71549.86552232146,2824.1106268535004,37,5,4,0
60,66,6,69699.22315201169,2793.364889105726,22,6,2,1
61,41,1,146765.19973831484,4683.890661413983,36,7,1,1
